电影名,主演,上映日期,评分,影评数,热门影评
哪吒闹海,梁正晖,"
                            1979 ",9.2,263279人,想你时你在闹海。
大鱼,伊万·麦克格雷格,"
                            2003 ",8.8,573532人,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
九品芝麻官,周星驰,"
                            1994 ",8.7,690249人,
喜宴,赵文瑄,"
                            1993 ",9.0,368351人,中国家庭的喜怒哀乐忍。
模仿游戏,本尼迪克特·康伯巴奇,"
                            2014 ",8.8,654793人,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家,泰伊·谢里丹,"
                            2018 ",8.7,1382092人,写给影迷，动漫迷和游戏迷的一封情书。
色，戒,梁朝伟,"
                            2007 ",8.7,821718人,假戏真情，爱欲深海
射雕英雄传之东成西就,梁朝伟,"
                            1993 ",8.7,644449人,百看不厌。 
花样年华,梁朝伟,"
                            2000 ",8.7,616392人,偷情本没有这样美。
我是山姆,Sean,"
                            2001 ",9.0,341652人,爱并不需要智商 。
阳光姐妹淘,沈恩京,"
                            2011 ",8.8,594439人,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
头脑特工队,未知,"
                            2015 ",8.8,623288人,愿我们都不用长大，每一座城堡都能永远存在。
血战钢锯岭,安德鲁·加菲尔德,"
                            2016 ",8.7,789893人,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
七武士,三船敏郎,"
                            1954 ",9.3,200879人,时代悲歌。
恐怖直播,河正宇,"
                            2013 ",8.7,658869人,恐怖分子的“秋菊打官司”。
惊魂记,安东尼·博金斯,"
                            1960 ",9.0,300180人,故事的反转与反转，分裂电影的始祖。
黑客帝国3：矩阵革命,未知,"
                            2003 ",8.8,451580人,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
你的名字。,神木隆之介,"
                            2016 ",8.5,1423817人,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
电锯惊魂,雷·沃纳尔,"
                            2004 ",8.8,539981人,真相就在眼前。
三块广告牌,弗兰西斯·麦克多蒙德,"
                            2017 ",8.7,828288人,怼天怼地，你走后，她与世界为敌。
达拉斯买家俱乐部,马修·麦康纳,"
                            2013 ",8.8,457175人,Jared Leto的腿比女人还美！
疯狂原始人,未知,"
                            2013 ",8.7,846978人,老少皆宜，这就是好莱坞动画的魅力。
心迷宫,霍卫民,"
                            2014 ",8.7,528432人,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
谍影重重3,马特·达蒙,"
                            2007 ",8.8,423111人,像吃了苏打饼一样干脆的电影。
上帝之城,未知,"
                            2002 ",9.0,303982人,被上帝抛弃了的上帝之城。
英雄本色,周润发,"
                            1986 ",8.6,547500人,英雄泪短，兄弟情长。 
风之谷,岛本须美,"
                            1984 ",8.9,357722人,动画片的圣经。
纵横四海,周润发,"
                            1991 ",8.8,430357人,香港浪漫主义警匪动作片的巅峰之作。
卢旺达饭店,唐·钱德尔,"
                            2004 ",8.9,333533人,当这个世界闭上双眼，他却敞开了怀抱。
爱在午夜降临前,伊桑·霍克,"
                            2013 ",8.9,408674人,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
海街日记,绫濑遥,"
                            2015 ",8.8,454304人,是枝裕和的家庭习作。
绿里奇迹,汤姆·汉克斯,"
                            1999 ",8.9,334281人,天使暂时离开。
记忆碎片,盖·皮尔斯,"
                            2000 ",8.7,610420人,一个针管引发的血案。
小丑,杰昆·菲尼克斯,"
                            2019 ",8.7,1017496人,
疯狂的石头,郭涛,"
                            2006 ",8.6,831656人,中国版《两杆大烟枪》。
背靠背，脸对脸,牛振华,"
                            1994 ",9.5,137239人,
岁月神偷,吴君如,"
                            2010 ",8.7,577989人,岁月流逝，来日可追。
雨中曲,吉恩·...,"
                            1952 ",9.1,229358人,骨灰级歌舞片。
忠犬八公物语,仲代达矢,"
                            1987 ",9.2,198049人,养狗三日，便会对你终其一生。
2001太空漫游,凯尔·杜拉,"
                            1968 ",8.9,335315人,现代科幻电影的开山之作，最伟大导演的最伟大影片。
心灵奇旅,杰米·...,"
                            2020 ",8.7,994731人,
荒蛮故事,达里奥·葛兰帝内提,"
                            2014 ",8.8,448379人,始于荒诞，止于更荒诞。
无间道2,陈冠希,"
                            2003 ",8.7,486029人,
小偷家族,中川雅也,"
                            2018 ",8.7,818977人,我们组成了家。
无敌破坏王,约翰·C·赖利,"
                            2012 ",8.7,546323人,迪士尼和皮克斯拿错剧本的产物。
爆裂鼓手,迈尔斯·特勒,"
                            2014 ",8.7,594834人,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
冰川时代,未知,"
                            2002 ",8.6,621908人,松鼠才是角儿。
恐怖游轮,梅利莎·乔治,"
                            2009 ",8.5,874837人,不要企图在重复中寻找已经失去的爱。
贫民窟的百万富翁,戴夫...,"
                            2008 ",8.6,751230人,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
东邪西毒,张国荣,"
                            1994 ",8.6,581802人,电影诗。
牯岭街少年杀人事件,张震,"
                            1991 ",8.9,305481人,弱者送给弱者的一刀。
魔女宅急便,高山南,"
                            1989 ",8.7,464970人,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
遗愿清单,杰克·尼科尔森,"
                            2007 ",8.7,468079人,用剩余不多的时间，去燃烧整个生命。
东京教父,江守彻,"
                            2003 ",9.0,234780人,
大佛普拉斯,庄益增,"
                            2017 ",8.7,465976人,人们可以登上月球，却永远无法探索人们内心的宇宙。
你看起来好像很好吃,山口胜平,"
                            2010 ",8.9,336474人,感情不分食草或者食肉。
真爱至上,休·格兰特,"
                            2003 ",8.6,736615人,爱，是个动词。
黑天鹅,娜塔莉·波特曼,"
                            2010 ",8.6,785824人,黑暗之美。
可可西里,多布杰,"
                            2004 ",8.9,306804人,坚硬的信仰。
城市之光,查理·卓别林,"
                            1931 ",9.3,148912人,永远的小人物，伟大的卓别林。
